index,class_intervals,actual_freq,expected_freq,chi_sq
0,0.00 <= x < 1.06,15,15.0,0.0
1,1.06 <= x < 2.17,12,15.0,0.6
2,2.17 <= x < 3.35,15,14.999999999999996,8.414516322357461e-31
3,3.35 <= x < 4.60,15,14.999999999999996,8.414516322357461e-31
4,4.60 <= x < 5.94,15,15.000000000000005,1.8932661725304276e-30
5,5.94 <= x < 7.36,9,15.000000000000014,2.4000000000000092
6,7.36 <= x < 8.89,23,14.999999999999996,4.266666666666671
7,8.89 <= x < 10.54,14,14.999999999999996,0.06666666666666621
8,10.54 <= x < 12.34,9,14.99999999999998,2.3999999999999875
9,12.34 <= x < 14.30,14,15.000000000000014,0.0666666666666685
10,14.30 <= x < 16.48,18,15.000000000000014,0.5999999999999938
11,16.48 <= x < 18.91,18,15.000000000000014,0.5999999999999938
12,18.91 <= x < 21.66,21,15.000000000000014,2.399999999999986
13,21.66 <= x < 24.84,14,14.999999999999947,0.0666666666666598
14,24.84 <= x < 28.60,10,15.000000000000014,1.6666666666666745
15,28.60 <= x < 33.21,20,15.000000000000014,1.6666666666666556
16,33.21 <= x < 39.14,15,14.99999999999998,2.5453911875131347e-29
17,39.14 <= x < 47.51,14,15.000000000000014,0.0666666666666685
18,47.51 <= x < 61.81,14,14.99999999999998,0.06666666666666415
19,61.81 <= x < 105.00,15,13.150736859746903,0.2600443000548763
